city,County,RUCA code
RAMONA,SAN DIEGO,2
RAMONA,SAN DIEGO,1
RANCHO CORDOVA,SACRAMENTO,1
RANCHO CUCAMONGA,SAN BERNARDINO,1
RANCHO MIRAGE,RIVERSIDE,1
RANCHO PALOS VERDES,LOS ANGELES,1
RANCHO SANTA FE,SAN DIEGO,1
RANCHO SANTA MARGARITA,ORANGE,1
RAYMOND,MADERA,10
RED BLUFF,TEHAMA,4
RED BLUFF,TEHAMA,5
REDDING,SHASTA,1
REDDING,SHASTA,2
REDLANDS,SAN BERNARDINO,1
REDONDO BEACH,LOS ANGELES,1
REDWOOD CITY,SAN MATEO,4
REDWOOD CITY,SAN MATEO,1
REDWOOD CITY,SAN MATEO,2
REDWOOD VALLEY,MENDOCINO,4
REEDLEY,FRESNO,4
REEDLEY,FRESNO,3
REEDLEY,FRESNO,7
RESCUE,EL DORADO,1
RESEDA,LOS ANGELES,1
RIALTO,SAN BERNARDINO,1
RICHMOND,CONTRA COSTA,1
RIDGECREST,SAN BERNARDINO,10
RIDGECREST,KERN,4
RIO LINDA,SACRAMENTO,1
RIO VISTA,SOLANO,7
RIPON,SAN JOAQUIN,1
RIVERBANK,STANISLAUS,1
RIVERDALE,FRESNO,7
RIVERSIDE,RIVERSIDE,1
ROCKLIN,PLACER,1
RODEO,CONTRA COSTA,1
ROHNERT PARK,SONOMA,1
ROSAMOND,KERN,10
ROSAMOND,KERN,2
ROSEMEAD,LOS ANGELES,1
ROSEVILLE,PLACER,1
ROUGH AND READY,NEVADA,5
ROWLAND HEIGHTS,LOS ANGELES,1
RUNNING SPRINGS,SAN BERNARDINO,2
SACRAMENTO,SACRAMENTO,2
SACRAMENTO,SACRAMENTO,1
SACRAMENTO,YOLO,1
SAINT HELENA,NAPA,7
SAINT HELENA,NAPA,10
SALINAS,MONTEREY,1
SALINAS,MONTEREY,10
SAN ANSELMO,MARIN,1
SAN BERNARDINO,SAN BERNARDINO,10
SAN BERNARDINO,SAN BERNARDINO,4
SAN BERNARDINO,SAN BERNARDINO,1
SAN BRUNO,SAN MATEO,1
SAN CARLOS,SAN MATEO,1
SAN CLEMENTE,ORANGE,1
SAN DIEGO,SAN DIEGO,1
SAN DIMAS,LOS ANGELES,1
SAN FERNANDO,LOS ANGELES,1
SAN FRANCISCO,SAN FRANCISCO,1
SAN FRANCISCO,SAN MATEO,10
SAN GABRIEL,LOS ANGELES,1
SAN GERONIMO,MARIN,1
SAN JACINTO,RIVERSIDE,1
SAN JOSE,SANTA CLARA,1
SAN JUAN BAUTISTA,SAN BENITO,3
SAN JUAN CAPISTRANO,ORANGE,1
SAN LEANDRO,ALAMEDA,1
SAN LORENZO,ALAMEDA,1
SAN LUIS OBISPO,SAN LUIS OBISPO,1
SAN MARCOS,SAN DIEGO,1
SAN MARINO,LOS ANGELES,1
SAN MARTIN,SANTA CLARA,2
SAN MATEO,SAN MATEO,1
SAN PABLO,CONTRA COSTA,1
SAN PEDRO,LOS ANGELES,1
SAN QUENTIN,MARIN,1
SAN RAFAEL,MARIN,1
SAN RAMON,CONTRA COSTA,1
SAN YSIDRO,SAN DIEGO,1
SANGER,FRESNO,2
